sample,period,perk,perk_label,status,detail,nobs,ai_wage_postings,beta1_ai_role,beta1_se,beta1_pvalue,beta2_perk,beta2_se,beta2_pvalue,beta3_interaction,beta3_se,beta3_pvalue,beta3_lower_ci,beta3_upper_ci,r_squared
Full sample,2025,HEALTH_WELLBEING,Health and Wellbeing,ok,,6661,185,0.29482498635794513,0.033607087223092594,1.7442806303625193e-18,0.021138722338598426,0.01706185694542828,0.21536543327442803,-0.15194124701559764,0.09127959689116395,0.09599864380495408,-0.33084925692227896,0.026966762891083712,0.4731938079342234
Full sample,2025,PARENTAL_LEAVE,Parental Leave,ok,,6661,185,0.2682949214648298,0.036431031987044865,1.7786377782811723e-13,0.05982803060966232,0.017258348689019484,0.000527058473015324,0.025845668409219202,0.06525633362771285,0.6920579972856495,-0.102056745501098,0.1537480823195364,0.47394659767958547
Full sample,2025,CULTURE,Workplace Culture,ok,,6661,185,0.2585427824061893,0.034872408254397996,1.2257912687060385e-13,0.067355082997892,0.016057746779369258,2.734092381970516e-05,0.05976261574622799,0.07103372967636122,0.40016460275289256,-0.07946349441944,0.19898872591189598,0.47461640517631065
Full sample,2025,REMOTE_KW,Remote Work,ok,,6661,185,0.2780824349355141,0.034094524081469756,3.4567291387882175e-16,0.08422329892533881,0.01825879299300201,3.973707490143465e-06,-0.028114727436348796,0.07773074867237878,0.7175808840512523,-0.1804669948342112,0.1242375399615136,0.4745398307668801
Small firms,Pooled 2018-2025,EDU_ASSISTANCE,Tuition Assistance,ok,,14913,151,0.22222582273524671,0.03967670535531939,2.1322425434363733e-08,0.029919792416319355,0.011208181199701501,0.007597330092583291,-0.14014266608486303,0.09572915107264565,0.14320768067242926,-0.3277718021872485,0.04748647001752243,0.3876466161394142
Small firms,Pooled 2018-2025,PAID LEAVE,Paid Leave,ok,,14913,151,0.22062385812423813,0.04946188556889619,8.177546665415348e-06,-0.020457094079271376,0.00679603792321906,0.002611186329253255,-0.0328149941731255,0.07274190880088077,0.651906390023519,-0.1753891354228518,0.10975914707660081,0.38774944408265644
Small firms,Pooled 2018-2025,HEALTH_WELLBEING,Health and Wellbeing,ok,,14913,151,0.20704015437635861,0.03833241240325938,6.620496287270773e-08,0.03963785140758913,0.015612012630690017,0.0111191168908193,-0.0028047073137600353,0.13589866874171375,0.9835342477471319,-0.26916609804751895,0.2635566834199989,0.3876012326149162
Small firms,Pooled 2018-2025,PARENTAL_LEAVE,Parental Leave,ok,,14913,151,0.18819334561429604,0.03974390134253695,2.1889284335242503e-06,0.06242195137507758,0.016680248100715694,0.0001823671910241995,0.11834996803999864,0.10006400573273795,0.23691115274225438,-0.07777548319616773,0.314475419276165,0.38806131641544117
Small firms,Pooled 2018-2025,CULTURE,Workplace Culture,ok,,14913,151,0.20768267457274991,0.042889250939149325,1.2834396845786927e-06,0.07018847535162695,0.014015271794748993,5.499865291066566e-07,-0.034601722961024706,0.0789496830817777,0.6611864816762154,-0.189343101801309,0.1201396558792596,0.3884086454807413
Small firms,Pooled 2018-2025,REMOTE_KW,Remote Work,ok,,14913,151,0.2297534054343333,0.044800919559946084,2.923408317429949e-07,0.18053852698163075,0.014752993711993043,1.9617836969834164e-34,-0.16846233124176146,0.0782024664682707,0.031225916304976797,-0.32173916551957205,-0.015185496963950912,0.39486803141701887
Small firms,2018,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_ai_wage_postings,,641,7,,,,,,,,,,,,
Small firms,2018,PAID LEAVE,Paid Leave,skipped_sparse_ai_wage_postings,,641,7,,,,,,,,,,,,
Small firms,2018,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_ai_wage_postings,,641,7,,,,,,,,,,,,
