SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,DURATION_CALC_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,DURATION_CALC_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
Legal Occupations,2018,0.5248769819573538,68222.59065934065,,,12.206072645530174,200000.0,64.47916666666667,12.206072645530174,200000.0,10.987896828932708,68150.145684442,61.249642739364624,10.915088464214607,55000.0,111.08652397781742,293.4696587826341,9145,2.1104428649535265,4.166666666666666,2.0995932725074202,8.769819573537452,12.5,8.750137407936682,2.1651175505740845,0.0,2.176541717049577,1.0497539639147075,6.25,1.0223150489172255,4.319300164024057,4.166666666666666,4.320105529295372,0.0,,0.0,2.952433023510115,0.0,2.9680114323403317,9.120962560824966
Legal Occupations,2019,0.6215859860614052,66248.91573516767,18.42508005274064,,10.998488217617822,59993.0,59.53030303030303,10.998488217617822,59993.0,10.970941463927781,66254.29948364888,58.46000758150114,10.888268230963195,53544.5,100.25108832984493,90.54959522258005,10618,3.0702580523639105,1.5151515151515151,3.0799848369977254,15.709173102279147,7.575757575757576,15.760045489006824,2.552269730646073,0.0,2.5682335102350264,1.7423243548690903,1.5151515151515151,1.7437452615617892,4.699566773403655,6.0606060606060606,4.691053828658074,6.572363356428021,3.1746031746031744,6.593087423758351,4.021472970427576,1.5151515151515151,4.037149355572403,9.270305953143616
Legal Occupations,2020,0.44457617071724953,64899.900568181816,-28.477124535215836,18.42508005274064,12.323855681186558,225000.0,61.2,12.323855681186558,225000.0,10.93539698374562,64843.02664298401,60.23439515728887,10.838796290246044,50960.0,112.69692082971238,346.99182263470874,10122,2.499506026476981,0.0,2.5106678574972707,23.443983402489625,6.666666666666667,23.518904435844,2.2821576763485476,6.666666666666667,2.2625781482584104,2.6180596720015807,0.0,2.629750917931924,5.265757755384311,13.333333333333334,5.229731070755185,15.307539682539684,15.555555555555555,15.306427503736922,10.07705986959099,8.88888888888889,10.082365783467303,9.222466551774023
Legal Occupations,2021,0.7307979120059657,69260.41810829027,64.38081034054188,-28.477124535215836,11.339597043850626,92277.0,64.06122448979592,11.191341840842766,72500.0,11.017167555516998,69213.78388113463,63.83751502403846,10.935960038699692,56160.0,102.92660964543619,133.32170967342768,13410,3.3333333333333335,4.081632653061225,3.3278245192307696,29.955257270693515,15.306122448979592,30.063100961538463,3.1245339299030577,3.061224489795918,3.125,4.049217002237136,5.1020408163265305,4.041466346153847,9.060402684563758,22.448979591836736,8.961838942307693,19.25289503175196,21.428571428571427,19.2368480469632,13.840417598806862,13.26530612244898,13.844651442307693,9.503755976275723
Legal Occupations,2022,0.6939143709666227,78657.11121239745,-5.047023319771327,64.38081034054188,11.53806433216666,124381.0,55.65,11.841250666033066,139282.0,11.134953683063971,78489.77767612076,54.88533296065963,11.055482617769352,63290.0,103.62022744392563,158.46776953967714,14411,3.8928596211227533,5.0,3.885123331702886,34.93858857816946,31.0,34.96610998532597,4.142668794670738,8.0,4.115715184124101,5.134966345153008,11.0,5.093983648941374,10.672403025466657,32.0,10.523373628677241,22.665552538124086,32.0,22.600098169833814,16.612310040940947,21.0,16.581650478652783,9.575747082838362
Legal Occupations,2023,0.7817303469477381,92711.69731191348,12.655160298638556,-5.047023319771327,11.905385117791896,166254.94,48.235955056179776,12.089617727227772,178025.0,11.287379176580561,92122.12506012506,46.14226274787536,11.242690306122169,76320.0,105.47519429925411,180.47232398459207,11385,5.726833552920509,11.235955056179774,5.68342776203966,41.71277997364954,38.20224719101123,41.74043909348442,4.874835309617918,15.730337078651685,4.789305949008499,7.66798418972332,24.719101123595504,7.533640226628894,12.165129556433904,31.46067415730337,12.013101983002834,26.725429704715737,32.95454545454545,26.67673447632584,20.28985507246377,16.853932584269664,20.316926345609065,9.34005197849784
"Life, Physical, and Social Science Occupations",2018,1.3628262920641576,65865.40940877305,,,11.201874353048753,79611.60869565218,65.40384615384616,11.121363262031055,67600.0,10.98613593806031,65764.17259045789,59.75183335104687,10.981284701490317,58764.0,101.96373334723667,121.05620060245916,19078,3.27602474053884,2.307692307692308,3.289403762355192,9.560750602788552,5.384615384615385,9.61845041981082,2.8042771779012474,3.076923076923077,2.8005101498565206,0.46126428346786874,0.7692307692307693,0.4570092464661495,4.612642834678687,9.230769230769232,4.548836220639814,0.0,,0.0,4.801341859733724,4.230769230769231,4.80922520990541,9.856291117705153
"Life, Physical, and Social Science Occupations",2019,1.7097559711932027,66756.11104405552,25.456632378553536,,11.332649457180409,88808.54545454546,59.23939393939394,11.29490777790484,80439.5,10.997841599860255,66608.737545565,59.706393969743296,10.988668348888801,59199.5,103.0443051418781,133.3286723739423,19301,4.5697114139163775,2.4242424242424243,4.607031785356597,13.69877208434796,7.2727272727272725,13.81055294923831,3.8132739236309,3.6363636363636362,3.8163512729956253,0.8289725920936739,0.9090909090909091,0.8275789362711508,5.673281177141081,11.818181818181818,5.566390807021243,4.6893317702227435,4.968944099378882,4.68445022771633,5.574840681829957,3.939393939393939,5.603289230931422,9.867912187022208
"Life, Physical, and Social Science Occupations",2020,1.7275419545903257,65679.42347390151,1.0402644410541617,25.456632378553536,11.286721617278303,86229.78125,59.417142857142856,11.244053108411602,76440.0,10.966777081307631,65483.647514141114,59.66599698643898,10.946340448277997,56746.0,102.91739800671249,131.68139607888943,20260,4.417571569595262,2.857142857142857,4.445002511300854,15.384995064165844,6.857142857142858,15.534907081868408,3.376110562685094,4.285714285714286,3.3601205424409843,1.0760118460019743,2.571428571428571,1.0497237569060773,6.653504442250741,13.142857142857142,6.539427423405324,7.035801424090026,10.601719197707736,6.972737407520016,6.347482724580454,9.142857142857142,6.2983425414364635,9.916403777802675
"Life, Physical, and Social Science Occupations",2021,1.990069513406157,68997.9545884579,15.196595261739265,1.0402644410541617,11.283809838591786,85897.53846153847,63.35928143712575,11.251229506670546,77128.5,11.03078589767677,68830.0244601567,65.1194779930291,11.015706844610454,60822.0,102.29379795113516,124.7966118496174,25175,6.645481628599802,7.385229540918163,6.6304612142336055,20.611717974180735,12.375249500998004,20.77895760719786,4.349553128103277,7.784431137724551,4.279808705519981,2.669314796425025,3.592814371257485,2.6505633460322606,10.720953326713008,21.55688622754491,10.50093215530518,10.321576763485476,15.353535353535353,10.220196182180796,7.932472691161867,9.181636726546905,7.907108697414282,10.133606717586764
