SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,ai_role_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
Computer and Mathematical Occupations,2023,8.953112990007686,117023.19805061839,-7.422563049522656,5.283031652722259,11.827889743462869,144750.62691985478,11.837325120357173,138320.0,11.556938217766394,114018.54021666768,11.631206153133324,112556.0,102.34449229191122,126.95358723659098,97575,8736,9343,1078,8265,24268,2457,21811,5771,661,5110,8365,1170,7195,16746,2126,14620,1547.0,146.0,1401.0,23181,2353,20828,11.488376592048816
Computer and Mathematical Occupations,2024,15.45062910284464,122249.77641277641,72.572703149046,-7.422563049522656,11.883150359247075,153040.03382057897,11.901922380371085,147550.0,11.573586921356462,117015.55267004482,11.648391233610383,114507.0,102.67474068319635,130.7860624750578,58496,9038,5652,847,4805,16307,2200,14107,3790,657,3133,6732,1163,5569,10568,1868,8700,24.0,2.0,22.0,12014,1839,10175,10.976713654813821
Educational Instruction and Library Occupations,2018,0.3893353267302062,48935.17593073593,,,11.16069888779781,75490.11111111111,10.977260551190593,58528.0,10.685999884961232,48893.727020464794,10.635855446249355,41600.0,104.44225161844368,154.39631157492704,32106,125,1501,3,1498,2579,7,2572,1081,1,1080,179,3,176,1883,20,1863,0.0,0.0,0.0,949,3,946,10.376798207539359
Educational Instruction and Library Occupations,2019,0.4836140191169777,48576.89352331606,24.215293582157482,,10.765025515256214,50361.692307692305,10.689305067937381,43884.0,10.67167491067778,48573.88296353964,10.635855446249355,41600.0,100.87475120222254,103.68059795733156,35152,170,2016,2,2014,4311,8,4303,1245,1,1244,344,0,344,2320,32,2288,63.0,0.0,63.0,947,5,942,10.467436794624392
Educational Instruction and Library Occupations,2020,0.43859649122807015,47170.55324046033,-9.308565531475754,24.215293582157482,11.084459108850758,74352.44444444444,11.135783483215976,68589.0,10.635790812891722,47111.15369673425,10.584562151861805,39520.0,104.21847612323478,157.82344224272003,32832,144,2362,1,2361,5295,9,5286,1187,2,1185,428,0,428,2252,39,2213,100.0,0.0,100.0,1468,13,1455,10.399158928530442
Educational Instruction and Library Occupations,2021,0.5090874488533638,46799.453337576575,16.071938338566948,-9.308565531475754,11.04021904338828,68088.68965517242,11.09816730995047,66050.0,10.645319980813888,46750.21985645933,10.584562151861805,39520.0,103.70960256043145,145.6435710125646,42036,214,3714,7,3707,8388,17,8371,1452,13,1439,865,4,861,3641,84,3557,108.0,1.0,107.0,1921,30,1891,10.646281672985488
Educational Instruction and Library Occupations,2022,0.6026803955217782,50435.32841281857,18.384453767072294,16.071938338566948,11.034610938653852,70109.58139534884,10.89209894598991,53750.0,10.73008144441968,50381.81504206465,10.679066891449532,43437.0,102.83809117210892,139.15652172676417,48948,295,4108,7,4101,10875,29,10846,1638,4,1634,1273,5,1268,6048,111,5937,125.0,3.0,122.0,1774,26,1748,10.79851378910556
Educational Instruction and Library Occupations,2023,0.7232144920169136,56405.61741316805,19.99967103472504,18.384453767072294,11.3046650424772,90550.02380952382,11.324778099566036,82850.0,10.832728882929349,56237.08232459748,10.79400909062112,48728.0,104.35657685748554,161.01479676145686,43279,313,3656,20,3636,10276,51,10225,2108,8,2100,1179,10,1169,5575,118,5457,91.0,2.0,89.0,1297,45,1252,10.675422807892987
Educational Instruction and Library Occupations,2024,1.0425045850896102,57416.82593466295,44.14874101627233,19.99967103472504,11.268734614715301,88427.35294117648,11.350406535472453,85000.0,10.855308079398474,57150.76589762077,10.81817700304331,49920.0,103.8085195951411,154.7264530095436,31079,324,2813,15,2798,7763,51,7712,1556,7,1549,1001,13,988,3701,100,3601,2.0,0.0,2.0,1047,53,994,10.34428762893178
Healthcare Practitioners and Technical Occupations,2018,0.1100827068758238,79583.5184609693,,,11.146745881859733,100023.66666666667,11.008528513462181,60387.0,11.149360756684805,79556.258872342,11.181082496732678,71760.0,99.9765468632495,125.72696112717819,138078,152,7184,3,7181,13286,8,13278,2599,1,2598,617,5,612,3485,4,3481,0.0,0.0,0.0,2746,6,2740,11.83557402185546
