Occupation,Year,AI Demand (%),Total Jobs,AI Jobs,Tuition Assistance AI (%),Tuition Assistance Non-AI (%),Tuition Assistance Gap (pp),Paid Leave AI (%),Paid Leave Non-AI (%),Paid Leave Gap (pp),Health & Wellbeing AI (%),Health & Wellbeing Non-AI (%),Health & Wellbeing Gap (pp),Parental Leave AI (%),Parental Leave Non-AI (%),Parental Leave Gap (pp),Workplace Culture AI (%),Workplace Culture Non-AI (%),Workplace Culture Gap (pp),Remote Work AI (%),Remote Work Non-AI (%),Remote Work Gap (pp)
Production Occupations,2021,0.27,59332,158,12.66,6.48,6.18,16.46,25.88,-9.42,3.8,3.36,0.44,3.8,1.8,2.0,17.09,5.33,11.76,11.39,2.24,9.15
Office and Administrative Support Occupations,2019,0.26,142454,376,5.32,3.87,1.45,13.56,15.03,-1.46,3.19,2.51,0.69,1.33,1.04,0.29,10.64,4.64,6.0,4.79,2.71,2.08
Production Occupations,2019,0.25,40699,102,10.78,4.4,6.39,9.8,14.34,-4.53,1.96,2.68,-0.72,0.98,0.6,0.38,6.86,3.29,3.58,2.94,0.99,1.95
Community and Social Service Occupations,2022,0.25,35621,90,11.11,11.08,0.03,31.11,34.93,-3.82,6.67,6.05,0.62,6.67,5.81,0.85,23.33,14.71,8.63,18.89,9.68,9.21
Community and Social Service Occupations,2023,0.25,33210,83,7.23,12.34,-5.11,40.96,38.3,2.66,4.82,6.03,-1.21,13.25,7.4,5.85,37.35,16.29,21.06,20.48,11.8,8.68
Production Occupations,2018,0.24,41386,99,6.06,2.98,3.08,11.11,10.44,0.67,2.02,1.63,0.39,0.0,0.2,-0.2,9.09,2.93,6.17,1.01,0.63,0.38
Community and Social Service Occupations,2019,0.24,23562,56,1.79,6.48,-4.7,17.86,19.07,-1.21,5.36,3.96,1.39,0.0,2.91,-2.91,14.29,5.14,9.14,5.36,3.81,1.55
Healthcare Practitioners and Technical Occupations,2024,0.24,148813,364,5.49,14.93,-9.44,21.43,34.3,-12.87,3.85,6.32,-2.47,3.3,5.91,-2.61,16.76,11.12,5.64,10.71,2.8,7.92
Office and Administrative Support Occupations,2020,0.23,134215,304,1.32,4.57,-3.26,13.16,21.99,-8.83,3.62,2.86,0.76,2.3,1.36,0.94,15.46,4.29,11.17,6.91,5.72,1.19
Office and Administrative Support Occupations,2018,0.22,133502,295,2.71,3.19,-0.48,12.88,10.27,2.61,2.37,2.11,0.26,1.36,0.41,0.94,7.8,4.28,3.52,6.78,2.04,4.74
